Date [mm/dd] Start Time [hh:mm:ss],Iter_Duration [ms],C_CH4 [ppm],C_H2S [ppm],RH [%],T [C]
2025-06-07 07:31:00,947006,6.0,0,0,15
2025-06-07 07:47:00,947002,29.0,0,0,15
2025-06-07 08:03:00,947004,52.0,0,0,15
2025-06-07 08:19:00,947007,71.0,0,0,15
2025-06-07 08:35:00,947006,210.0,0,0,15
2025-06-07 08:51:00,947003,345.0,0,0,15
2025-06-07 09:07:00,947008,480.0,0,0,15
2025-06-07 09:23:00,947002,615.0,0,0,15
2025-06-07 09:39:00,946999,750.0,0,0,15
2025-06-07 09:55:00,947005,1670.0,0,0,15
2025-06-07 10:11:00,947000,2590.0,0,0,15
2025-06-07 10:27:00,947003,3510.0,0,0,15
2025-06-07 10:43:00,947004,2.1,0,35,15
2025-06-07 10:59:00,947007,6.0,0,35,15
2025-06-07 11:15:00,947010,29.0,0,35,15
2025-06-07 11:31:00,947004,52.0,0,35,15
2025-06-07 11:47:00,947015,71.0,0,35,15
2025-06-07 12:03:00,947002,210.0,0,35,15
2025-06-07 12:19:00,947004,345.0,0,35,15
2025-06-07 12:35:00,947011,480.0,0,35,15
2025-06-07 12:51:00,947004,615.0,0,35,15
2025-06-07 13:07:00,947006,750.0,0,35,15
2025-06-07 13:23:00,947005,1670.0,0,35,15
2025-06-07 13:39:00,946999,2590.0,0,35,15
2025-06-07 13:55:00,947004,3510.0,0,35,15
2025-06-07 14:11:00,947006,2.1,0,65,15
2025-06-07 14:27:00,947008,6.0,0,65,15
2025-06-07 14:43:00,947005,29.0,0,65,15
2025-06-07 14:59:00,947015,52.0,0,65,15
2025-06-07 15:15:00,947000,71.0,0,65,15
2025-06-07 15:31:00,947002,210.0,0,65,15
2025-06-07 15:47:00,947006,345.0,0,65,15
2025-06-07 16:03:00,947007,480.0,0,65,15
2025-06-07 16:19:00,947009,615.0,0,65,15
2025-06-07 16:35:00,947008,750.0,0,65,15
2025-06-07 16:51:00,946990,1670.0,0,65,15
2025-06-07 17:07:00,947003,2590.0,0,65,15
2025-06-07 17:23:00,947004,3510.0,0,65,15
